"Source:","/home/greg/projects/ArcticKoala/hw/ArcticKoala-r0.1/arctic-koala.sch"
"Date:","Mon 16 Dec 2019 09:15:44 ACDT"
"Tool:","Eeschema 5.1.4-e60b266~84~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","117"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Description","Key","MFN","Mfg","PN","Source"
"","","C33","10uF","pkl_C","pkl_dipol:C_0603","","YES","","cap-cer-0603-10u","","Samsung Electro-Mechanics","CL10A106KP8NNNC","ANY"
"","","C34","10uF","pkl_C","pkl_dipol:C_0603","","YES","","cap-cer-0603-10u","","Samsung Electro-Mechanics","CL10A106KP8NNNC","ANY"
"","","C35","100n","pkl_C_Small","pkl_dipol:C_0402","","","","cap-cer-0402-100n","","Samsung Electro-Mechanics","CL05B104KO5NNNC","ANY"
"","","C36","100n","pkl_C_Small","pkl_dipol:C_0402","","","","cap-cer-0402-100n","","Samsung Electro-Mechanics","CL05B104KO5NNNC","ANY"
"","","C37","100n","pkl_C_Small","pkl_dipol:C_0402","","","","cap-cer-0402-100n","","Samsung Electro-Mechanics","CL05B104KO5NNNC","ANY"
"","","C38","100n","pkl_C_Small","pkl_dipol:C_0402","","","","cap-cer-0402-100n","","Samsung Electro-Mechanics","CL05B104KO5NNNC","ANY"
"","","C39","100n","pkl_C_Small","pkl_dipol:C_0402","","","","cap-cer-0402-100n","","Samsung Electro-Mechanics","CL05B104KO5NNNC","ANY"
"","","C40","100n","pkl_C_Small","pkl_dipol:C_0402","","","","cap-cer-0402-100n","","Samsung Electro-Mechanics","CL05B104KO5NNNC","ANY"
"","","C41","22pF","C","pkl_dipol:C_0402","~","","","","","Samsung Electro-Mechanics","CL05C220JB5NNNC",""
"","","C42","4.7uF","C","pkl_dipol:C_0402","~","","","","","Samsung Electro-Mechanics","CL05A475MP5NRNC",""
"","","C43","10uF","C","pkl_dipol:C_0603","~","","","","","Samsung Electro-Mechanics","CL10A106KP8NNNC",""
"","","C44","100n","C","pkl_dipol:C_0402","~","","","","","Samsung Electro-Mechanics","CL05B104KO5NNNC",""
"","","C45","22pF","C","pkl_dipol:C_0402","~","","","","","Samsung Electro-Mechanics","CL05C220JB5NNNC",""
"","","C46","4.7uF","C","pkl_dipol:C_0402","~","","","","","Samsung Electro-Mechanics","CL05A475MP5NRNC",""
"","","C47","100n","C","pkl_dipol:C_0402","~","","","","","Samsung Electro-Mechanics","CL05B104KO5NNNC",""
"","","C48","4.7uF","C","pkl_dipol:C_0402","~","","","","","Samsung Electro-Mechanics","CL05A475MP5NRNC",""
"","","C49","4.7uF","C","pkl_dipol:C_0402","~","","","","","Samsung Electro-Mechanics","CL05A475MP5NRNC",""
"","","C50","4.7uF","C","pkl_dipol:C_0402","~","","","","","Samsung Electro-Mechanics","CL05A475MP5NRNC",""
"","","D1","BLUE","pkl_Led_Small","pkl_dipol:D_0603","","","","led-0603-red","","Wurth Electronics Inc. (VA)","150060BS75000","ANY"
"","","D2","GREEN","pkl_Led_Small","pkl_dipol:D_0603","","","","led-0603-red","","Wurth Electronics Inc. (VA)","150060VS75000","ANY"
"","","D5","RED","pkl_Led_Small","pkl_dipol:D_0603","","","","led-0603-red","","Wurth Electronics Inc. (VA)","150060SS75000","ANY"
"","","J1","Jumper","pkl_jumper_nc","pkl_jumpers:J_NC_0603_15","","","","","","","","ANY"
"","","J2","Jumper","pkl_jumper_nc","pkl_jumpers:J_NC_0603_15","","","","","","","","ANY"
"","","J3","Conn_02x07_Odd_Even","Conn_02x07_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x07_P2.54mm_Vertical","~","","","","","Sullins Connector Solutions","PPPC072LJBN-RC",""
"","","J18","Jumper","pkl_jumper_nc","pkl_jumpers:J_NC_0603_15","","","","","","","","ANY"
"","","J20","Flash","Conn_01x07","Pin_Headers:Pin_Header_Straight_1x07","~","","","conn-th-01in-7-1-hdr","","","","ANY"
"","","J21","PMOD","Conn_02x06_Top_Bottom","Socket_Strips:Socket_Strip_Angled_2x06","~","","","conn-th-01in-6-2-rec-ra","","Sullins Connector Solutions","PPPC062LJBN-RC","ANY"
"","","J22","PMOD","Conn_02x06_Top_Bottom","Socket_Strips:Socket_Strip_Angled_2x06","~","","","conn-th-01in-6-2-rec-ra","","Sullins Connector Solutions","PPPC062LJBN-RC","ANY"
"","","J23","PMOD","Conn_02x06_Top_Bottom","Socket_Strips:Socket_Strip_Angled_2x06","~","","","conn-th-01in-6-2-rec-ra","","Sullins Connector Solutions","PPPC062LJBN-RC","ANY"
"","","J26","5V AUX","Conn_02x01","Pin_Headers:Pin_Header_Straight_2x01","~","","","conn-th-01in-2-1-hdr","","","","ANY"
"","","J27","5V AUX","Conn_02x01","Pin_Headers:Pin_Header_Straight_2x01","~","","","conn-th-01in-2-1-hdr","","","","ANY"
"","","J29","Jumper","pkl_jumper_nc","pkl_jumpers:J_NC_0603_15","","","","","","","","ANY"
"","","L1","600","pkl_L_Small","pkl_dipol:L_0402","","","","ferrite-0402-600","","Murata Electronics North America","BLM15AG601SN1D","ANY"
"","","L2","600","pkl_L_Small","pkl_dipol:L_0402","","","","ferrite-0402-600","","Murata Electronics North America","BLM15AG601SN1D","ANY"
"","","L3","1.0uH","L_Small","Inductor_SMD:L_0603_1608Metric","~","","","","","Littelfuse Inc.","LPWI160808S1R0T",""
"","","L4","1.0uH","L_Small","Inductor_SMD:L_0603_1608Metric","~","","","","","Littelfuse Inc.","LPWI160808S1R0T",""
"","","L5","1.0uH","L_Small","Inductor_SMD:L_0603_1608Metric","~","","","","","Littelfuse Inc.","LPWI160808S1R0T",""
"","","P1","pkl_USB_OTG","pkl_USB_OTG","pkl_connectors:Connector_USB_Micro_B_SMD","","","","conn-smd-usb-micro-b","","Amphenol FCI (VA)","10118192-0001LF","ANY"
"","","P2","UP","PAD_SMD","pkl_pads:PAD_SMD_1x2.65","","","","","","","","ANY"
"","","P3","UP","PAD_SMD","pkl_pads:PAD_SMD_1x2.65","","","","","","","","ANY"
"","","P4","UP","PAD_SMD","pkl_pads:PAD_SMD_1x2.65","","","","","","","","ANY"
"","","P5","UP","PAD_SMD","pkl_pads:PAD_SMD_1x2.65","","","","","","","","ANY"
"","","R1","1M","pkl_R_Small","pkl_dipol:R_0402","","","","res-0402-1m","","PANASONIC ELECTRONIC COMPONENTS (VA)","ERJ-2RKF1004X","ANY"
"","","R2","10k","pkl_R4_Small","pkl_dipol:R_Array_Convex_4x0402","","","","res-0402cv-array-4-10k","","PANASONIC ELECTRONIC COMPONENTS (VA)","EXB-28V103JX","ANY"
"","","R3","4k7","pkl_R_Small","pkl_dipol:R_0402","","","","res-0402-2k2","","PANASONIC ELECTRONIC COMPONENTS (VA)","ERJ-2RKF4701X","ANY"
"","","R4","33E","pkl_R4_Small","pkl_dipol:R_Array_Convex_4x0402","","","","res-0402cv-array-4-330","","PANASONIC ELECTRONIC COMPONENTS (VA)","EXB-28V330JX","ANY"
"","","R5","2k2","pkl_R_Small","pkl_dipol:R_0402","","","","res-0402-2k2","","PANASONIC ELECTRONIC COMPONENTS (VA)","ERJ-2RKF2201X","ANY"
